,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,14.5,14.5,15.8,15.8,15.8,15.4,15.4,16.3,15.8,15.8,15.8,15.8,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.8,17.0,17.0,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
11,14.8,14.8,14.6,14.8,15.4,15.4,15.4,15.8,15.8,15.8,15.8,15.8,17.0,17.0,17.0,17.0,16.3,17.0,17.0,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
12,27.5,24.5,22.1,20.3,20.3,18.9,18.9,17.0,17.0,16.3,16.3,16.3,15.8,17.0,17.0,17.0,16.3,17.8,17.8,17.0,17.0,17.8,17.0,17.0,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0
13,18.9,17.8,17.0,16.3,15.8,15.8,15.8,15.4,17.0,16.3,16.3,15.8,15.8,17.0,17.0,17.0,16.3,17.8,17.8,17.8,17.0,17.0,17.0,17.8,17.8,17.0,17.0,17.0,17.0,17.8,17.8,17.8
14,17.0,17.0,16.3,15.8,15.4,15.4,15.4,15.1,22.1,22.1,20.3,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.8,17.0,17.0,17.0,17.0,17.8,17.0,17.0
15,50.9,42.7,36.3,31.3,27.5,24.5,24.5,22.1,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.0,17.8,17.0,17.0,17.0,17.8,17.0,17.8,17.8
16,36.3,31.3,27.5,24.5,22.1,22.1,20.3,18.9,17.8,17.8,17.8,17.0,17.0,16.3,17.0,16.3,17.8,17.8,17.8,17.8,17.0,17.8,17.0,17.0,17.8,17.0,17.0,17.0,17.8,17.0,17.8,17.8
17,24.5,24.5,22.1,20.3,20.3,18.9,17.8,17.0,17.0,16.3,16.3,15.8,16.3,15.8,17.0,17.0,17.8,17.8,17.8,17.0,17.8,17.8,17.8,17.0,17.0,17.8,17.0,17.0,17.8,17.0,17.8,17.8
18,18.9,17.8,17.0,17.0,16.3,15.8,15.8,15.4,15.4,17.0,17.0,17.0,16.3,16.3,17.0,17.0,16.3,17.0,17.0,17.0,17.8,17.8,17.0,17.8,17.0,17.8,17.0,17.0,17.8,17.8,17.8,17.8
19,15.8,15.4,15.4,15.1,14.8,15.8,15.4,15.4,15.8,17.0,17.0,16.3,15.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.8,17.8
20,17.8,17.8,17.0,16.3,15.8,15.8,15.8,15.4,15.8,15.8,16.3,15.8,15.8,17.8,17.8,17.8,17.8,17.0,17.0,17.8,17.0,17.0,17.8,17.0,17.0,17.0,17.0,17.8,17.0,17.8,17.0,17.0
21,18.9,17.8,17.0,17.0,16.3,15.8,15.8,15.4,15.8,15.4,17.8,17.8,17.0,17.0,17.0,16.3,17.8,17.8,17.8,17.0,17.0,17.8,17.0,17.8,17.0,17.0,17.0,17.8,17.8,17.8,17.8,17.8
22,15.8,15.4,15.4,15.1,14.8,22.1,22.1,20.3,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.0,17.0,17.0,17.0,17.0
23,17.0,17.0,15.8,15.8,15.4,17.8,17.0,16.3,15.8,15.8,15.8,15.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.0,17.8,17.8,17.8,17.8,17.8,17.0,17.0
24,22.1,22.1,20.3,18.9,17.8,17.8,17.0,16.3,15.8,15.8,15.8,15.8,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.0,17.0,17.8,17.8,17.8,17.0,17.0,17.0,17.8,17.8,17.8
25,17.0,16.3,15.8,15.4,15.4,15.4,17.0,16.3,15.8,15.8,15.8,15.8,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.0,17.8,17.0,17.8,17.8,17.8,17.8,17.0,17.8,17.0,17.0
26,15.4,15.4,15.1,15.1,15.1,14.8,24.5,22.1,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.8,17.0,17.0,17.8,17.0,17.8,17.8,17.8,17.0,17.0,17.8,17.8,17.8
27,17.8,17.0,17.0,15.8,15.8,15.8,15.8,15.4,15.4,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.8,17.0,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
28,20.3,18.9,17.8,17.0,17.0,16.3,15.8,15.8,15.4,20.3,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.0,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.8,17.8,17.8,17.8
29,17.0,17.0,16.3,15.8,15.4,15.8,15.4,20.3,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,16.3,17.0,17.0,17.8,17.0,17.8,17.8,17.8,17.8,17.0,17.8,17.0,17.8,17.8,17.8,17.8
30,17.0,16.3,15.8,15.8,15.4,15.8,15.4,20.3,20.3,18.9,18.9,17.8,17.8,17.0,17.0,17.0,17.8,17.0,17.0,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.8,17.8
31,15.8,15.4,15.4,15.4,15.1,15.4,15.4,18.9,17.8,17.8,17.0,17.0,16.3,16.3,16.3,16.3,17.8,17.8,17.8,17.0,17.8,17.8,17.0,17.8,17.8,17.0,17.8,17.8,17.0,17.0,17.0,17.0
32,18.9,17.8,17.0,17.0,16.3,15.8,15.8,15.4,15.4,15.8,15.8,15.8,15.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.8,17.8,17.0,17.0
33,61.6,50.9,42.7,36.3,31.3,31.3,27.5,24.5,22.1,22.1,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.8,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
34,230.4,230.4,144.6,115.5,92.8,92.8,92.8,61.6,50.9,42.7,42.7,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3
35,61.6,50.9,50.9,36.3,36.3,31.3,31.3,24.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.8,17.8,17.0,17.8,17.8,17.0,17.8,17.0,17.0,17.0
36,42.7,36.3,31.3,27.5,24.5,24.5,22.1,20.3,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.0,17.8,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
37,24.5,22.1,22.1,20.3,18.9,17.8,17.8,17.0,16.3,15.8,15.8,15.8,16.3,16.3,16.3,16.3,17.8,17.8,17.8,17.0,17.8,17.0,17.8,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8
38,61.6,50.9,42.7,36.3,31.3,31.3,27.5,24.5,22.1,22.1,20.3,20.3,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.0,17.8,17.8,17.8,17.0,17.8,17.8,17.0,17.8,17.0,17.0,17.0,17.0
39,61.6,50.9,42.7,36.3,31.3,31.3,27.5,22.1,22.1,20.3,20.3,20.3,18.9,17.8,17.8,17.8,17.8,17.8,17.0,18.9,17.8,17.8,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.0,17.0
40,17.8,17.0,17.0,15.8,15.8,15.8,15.4,15.8,15.8,15.4,20.3,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.8,17.8,17.0,17.0,17.8,17.8,17.8,17.0,17.0,17.8,17.0,17.0,17.0
41,18.9,17.8,17.0,17.0,16.3,15.8,15.8,15.4,15.8,15.4,17.8,17.8,17.0,17.0,17.0,17.0,17.0,16.3,17.0,17.8,17.0,17.0,17.0,17.8,17.0,17.8,17.8,17.8,17.0,17.8,17.8,17.8
42,15.4,15.4,15.1,15.1,15.4,15.4,15.4,16.3,16.3,15.8,15.8,16.3,15.8,18.9,18.9,17.8,17.8,17.8,17.8,17.0,17.8,17.0,17.8,17.0,17.0,17.0,17.8,17.0,17.0,17.8,17.8,17.8
43,14.6,14.6,14.8,14.8,15.4,15.4,15.4,17.0,17.0,16.3,15.8,16.3,15.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.0,17.0,17.0
44,15.8,15.4,15.4,15.4,15.4,15.1,15.4,17.0,17.0,16.3,15.8,16.3,15.8,17.0,17.0,17.0,16.3,17.0,17.0,17.0,17.0,17.8,17.0,17.8,17.0,17.0,17.0,17.8,17.8,17.8,17.8,17.8
45,14.5,14.8,14.6,17.0,17.0,16.3,16.3,15.4,15.4,16.3,16.3,15.8,18.9,17.8,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.0,17.8,17.8,17.8,17.8,17.8
46,15.8,15.4,15.4,15.1,17.8,17.0,17.0,16.3,15.8,15.8,15.8,15.8,17.0,16.3,16.3,16.3,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.8,17.0,17.0,17.8,17.8
47,14.6,14.5,14.8,14.6,24.5,24.5,24.5,20.3,20.3,18.9,17.8,17.8,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
