,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
26,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,18.9,17.8,18.9,18.9,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
27,50.9,36.3,36.3,31.3,31.3,27.5,24.5,22.1,22.1,22.1,22.1,20.3,22.1,20.3,20.3,20.3,20.3,20.3,20.3,22.1,22.1,22.1,22.1,22.1,22.1
28,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,18.9,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,20.3,20.3,22.1,22.1,22.1,22.1,22.1,22.1
29,22.1,20.3,20.3,20.3,18.9,17.8,17.0,18.9,17.8,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
30,20.3,18.9,17.8,17.8,17.8,17.0,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,22.1,22.1,22.1,22.1
31,27.5,24.5,24.5,22.1,22.1,20.3,18.9,18.9,17.8,20.3,18.9,18.9,17.8,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
32,42.7,36.3,36.3,31.3,31.3,27.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,22.1,20.3,20.3,20.3,20.3,20.3,20.3,22.1,22.1,22.1,22.1,22.1
33,50.9,50.9,42.7,36.3,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,20.3,20.3,20.3,22.1,20.3,24.5,22.1,22.1,22.1,22.1
34,50.9,42.7,36.3,36.3,31.3,31.3,24.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,22.1,22.1,22.1,22.1,22.1
35,230.4,144.6,144.6,115.5,115.5,92.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
36,230.4,230.4,182.1,144.6,115.5,115.5,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3
37,115.5,92.8,92.8,75.2,61.6,61.6,42.7,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5
38,36.3,31.3,31.3,27.5,24.5,24.5,22.1,20.3,20.3,20.3,20.3,18.9,18.9,18.9,17.8,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
39,61.6,50.9,50.9,42.7,36.3,36.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
40,61.6,50.9,42.7,36.3,36.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,24.5,22.1,22.1,22.1
41,24.5,22.1,22.1,20.3,20.3,18.9,17.8,17.8,17.8,18.9,18.9,17.8,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.5,24.5
42,24.5,22.1,22.1,20.3,20.3,18.9,17.8,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,22.1,22.1
43,22.1,20.3,20.3,18.9,17.8,17.8,17.0,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1
44,18.9,17.8,17.8,17.0,22.1,20.3,18.9,18.9,17.8,17.8,17.8,20.3,18.9,18.9,18.9,17.8,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
45,15.4,15.4,15.4,15.4,42.7,36.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,22.1,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
46,17.8,17.8,17.8,17.0,18.9,18.9,17.8,17.8,17.8,17.8,17.8,17.8,17.8,17.8,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
47,15.1,15.4,15.1,15.8,17.0,17.0,36.3,36.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1
