,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
10,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.5,14.2,14.2,14.0,14.8,14.6,14.6,14.4,14.3,14.2,14.0,14.3,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.0,14.1,14.0,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.0,14.2,14.1,14.1,14.1,14.1,14.0,14.3,14.2,14.2,14.2,14.1,14.0,14.2,14.2,14.2,14.1,14.1,14.1,14.0,14.2,14.2,14.2,14.1,14.0,14.0,14.0,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.0,14.1,14.0,14.2,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
11,14.0,14.0,14.0,14.0,14.0,14.2,14.1,14.0,15.1,14.8,14.6,14.4,14.3,14.2,14.1,14.0,14.2,14.0,14.6,14.5,14.3,14.3,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.4,14.3,14.2,14.2,14.1,14.0,14.3,14.2,14.2,14.1,14.0,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.0,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.2,14.1,14.0,14.0,14.1,14.1,14.0,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.0,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.0,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.1
12,14.0,14.5,14.1,14.0,14.0,14.5,14.3,14.3,14.1,14.0,14.3,14.2,14.0,14.6,14.5,14.4,14.3,14.2,14.2,14.1,14.2,14.1,14.0,14.4,14.3,14.3,14.2,14.2,14.1,14.2,14.2,14.0,14.3,14.2,14.2,14.2,14.1,14.1,14.2,14.1,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.0,14.2,14.2,14.0,14.1,14.1,14.0,14.3,14.3,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.2,14.1,14.1,14.2,14.2,14.2,14.2,14.2,14.2
13,14.0,14.3,14.0,14.2,14.1,14.0,14.3,14.2,14.0,15.4,15.4,14.6,14.5,14.4,14.3,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.0,14.3,14.2,14.2,14.1,14.2,14.2,14.2,14.0,14.5,14.4,14.3,14.3,14.3,14.2,14.2,14.2,14.0,14.8,14.8,14.6,14.6,14.6,14.5,14.5,14.5,14.4,14.3,14.3,14.3,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.1,14.2,14.0,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.1,14.2,14.1,14.1,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1
14,14.1,14.0,14.0,14.0,14.2,14.0,14.6,14.5,14.3,14.2,14.2,14.0,14.3,14.2,14.1,14.0,14.8,14.6,14.5,14.3,14.2,14.1,14.1,14.0,14.4,14.3,14.3,14.3,14.2,14.2,14.2,14.1,14.0,14.2,14.1,14.0,14.2,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.2,14.2,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.0,14.2,14.2,14.2,14.1,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
15,31.3,15.8,14.6,14.5,14.3,14.2,14.2,14.0,14.8,14.8,14.6,14.3,14.3,14.2,14.0,14.8,14.8,14.5,14.4,14.3,14.2,14.0,14.6,14.5,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.0,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.0,14.1,14.1,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.1,14.1,14.1,14.1,14.2,14.2,14.1,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.1,14.2,14.1,14.2,14.2,14.1,14.1,14.1,14.1,14.2,14.2
16,14.5,14.0,14.0,14.4,14.3,14.2,14.1,14.2,14.1,14.2,14.1,15.4,15.1,14.8,14.6,14.5,14.4,14.3,14.2,14.2,14.0,14.6,14.5,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.1,14.0,14.5,14.4,14.4,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.1,14.3,14.2,14.2,14.2,14.1,14.1,14.2,14.0,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.1,14.1,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1,14.2,14.1,14.1,14.2,14.1,14.2,14.2,14.1,14.1,14.2,14.2,14.1,14.1,14.2,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.1,14.1
17,230.4,31.3,17.8,16.3,15.8,15.4,14.8,14.6,14.5,14.4,14.3,14.1,14.0,14.6,14.5,14.4,14.3,14.2,14.2,14.1,14.2,14.1,14.0,14.4,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.0,14.6,14.6,14.5,14.5,14.4,14.4,14.3,14.3,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.3,14.3,14.3,14.2,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.2,14.1,14.0,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.1,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.1,14.1,14.2,14.1,14.2,14.2,14.1,14.1,14.2,14.2,14.1,14.1
18,14.6,14.0,14.2,14.0,14.3,14.2,14.1,14.1,14.4,14.3,14.3,14.0,15.1,14.6,14.6,14.5,14.4,14.3,14.2,14.1,14.3,14.3,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.1,14.0,14.5,14.5,14.4,14.3,14.3,14.3,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.1,14.1,14.1,14.2,14.2,14.2
19,75.2,20.3,15.8,15.1,14.8,14.6,14.5,14.4,14.2,14.2,14.4,14.2,14.1,14.4,14.3,14.2,14.2,14.2,14.2,14.1,14.4,14.3,14.3,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.0,14.4,14.4,14.3,14.3,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.5,14.4,14.4,14.4,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2
20,230.4,31.3,17.8,16.3,15.8,15.4,14.8,14.6,14.5,14.4,14.3,14.1,14.2,14.1,14.5,14.5,14.3,14.2,14.2,14.2,14.0,14.6,14.6,14.5,14.5,14.4,14.4,14.3,14.3,14.2,14.2,14.2,14.1,14.1,14.1,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.4,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.0,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.1,14.1,14.2,14.2,14.2,14.2
21,14.0,31.3,20.3,17.0,15.8,15.4,15.1,14.8,14.6,14.5,14.3,14.2,14.1,14.8,14.8,14.6,14.5,14.3,14.3,14.1,14.3,14.3,14.2,14.2,14.1,14.5,14.4,14.3,14.3,14.3,14.2,14.2,14.2,14.1,14.0,14.4,14.4,14.3,14.3,14.3,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.1,14.5,14.4,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.4,14.4,14.4,14.4,14.4,14.4
22,14.0,14.8,14.3,14.2,14.0,15.4,14.8,14.8,14.5,14.4,14.3,14.1,14.4,14.3,14.2,14.2,14.2,14.2,14.2,14.3,14.1,14.3,14.3,14.3,14.2,14.2,14.2,14.1,14.3,14.3,14.3,14.2,14.1,14.1,14.1,14.2,14.1,14.3,14.2,14.2,14.3,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.3,14.3,14.3,14.2,14.2,14.2,14.1,14.5,14.5,14.4,14.3,14.3,14.3,14.3,14.2,14.1,14.1,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
23,22.1,15.1,14.5,14.3,14.1,14.2,14.2,14.2,14.2,14.3,14.2,14.4,14.3,14.2,14.3,14.2,14.2,14.2,14.3,14.1,14.6,14.5,14.5,14.4,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.3,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.1,14.5,14.4,14.4,14.4,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
24,14.6,14.0,14.4,14.2,14.1,14.2,14.1,15.4,14.8,14.6,14.5,14.3,14.2,14.2,14.2,14.1,14.6,14.5,14.3,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.1,14.4,14.4,14.3,14.3,14.2,14.1,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.3,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.3,14.3,14.3,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.0,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
25,20.3,14.8,14.3,14.2,14.1,14.4,14.3,14.2,14.3,14.3,14.2,14.4,14.3,14.2,14.2,14.3,14.2,14.5,14.4,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.3,14.3,14.3,14.2,14.2,14.3,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.3,14.2,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.4,14.4,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
26,17.0,14.5,14.2,14.0,14.8,14.6,14.6,14.5,14.3,14.2,14.6,14.3,14.3,14.2,14.2,14.2,14.2,14.5,14.3,14.2,14.2,14.2,14.1,14.3,14.3,14.2,14.2,14.2,14.1,14.4,14.3,14.2,14.3,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.3,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.3,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.1,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.2,14.2,14.2,14.2,14.2,14.2,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.1,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2
